[2020-09-07T01:42:44.399Z] ::1 [object Object] POST /api/admin/sessions/ 200 {"email":"email@email.com","password":"newpass","loginDate":"2020-09-07 11:42:44"} 326.220 ms
[2020-09-07T01:42:44.609Z] ::1 email@email.com GET /api/admin/clientservices/1 304 {} 48.214 ms
[2020-09-07T01:42:44.645Z] ::1 email@email.com GET /api/business/[object%20Object]/list_all/1 200 {} 24.170 ms
[2020-09-07T01:42:59.222Z] ::1 email@email.com GET /api/business/collections/read_item/1/1 200 {} 61.112 ms
[2020-09-07T01:42:59.266Z] ::1 email@email.com GET /api/business/collections/read_outcomes/1/1 200 {} 12.395 ms
[2020-09-07T01:42:59.295Z] ::1 email@email.com GET /api/business/collections/read_contacts/1/1 304 {} 7.896 ms
[2020-09-07T01:42:59.308Z] ::1 email@email.com GET /api/admin/resolutions/list_all 304 {} 1.763 ms
[2020-09-07T01:42:59.323Z] ::1 email@email.com GET /api/admin/pendreasons/list_all 304 {} 1.595 ms
[2020-09-07T01:42:59.340Z] ::1 email@email.com GET /api/admin/transactiontypes/list_all 304 {} 3.751 ms
[2020-09-07T01:42:59.373Z] ::1 email@email.com GET /api/admin/accountstatuses/list_all 304 {} 4.954 ms
[2020-09-07T01:42:59.389Z] ::1 email@email.com GET /api/admin/cipcstatuses/list_all 304 {} 2.264 ms
[2020-09-07T01:42:59.652Z] ::1 email@email.com PUT /api/business/cases/update_item/1/1 200 {"currentStatus":" currentStatus = \"Locked\"","lockedDatetime":" lockedDatetime = \"2020-09-07 11:42:59\""} 15.730 ms
[2020-09-07T02:05:56.713Z] ::1 email@email.com GET /api/business/collections/read_item/1/1 200 {} 91.259 ms
[2020-09-07T02:05:56.872Z] ::1 email@email.com GET /api/business/collections/read_outcomes/1/1 200 {} 70.752 ms
[2020-09-07T02:05:56.934Z] ::1 email@email.com GET /api/business/collections/read_contacts/1/1 304 {} 6.697 ms
[2020-09-07T02:05:56.993Z] ::1 email@email.com GET /api/admin/resolutions/list_all 304 {} 3.102 ms
[2020-09-07T02:05:57.068Z] ::1 email@email.com GET /api/admin/pendreasons/list_all 304 {} 0.735 ms
[2020-09-07T02:05:57.457Z] ::1 email@email.com GET /api/admin/transactiontypes/list_all 304 {} 1.874 ms
[2020-09-07T02:05:57.556Z] ::1 email@email.com GET /api/admin/accountstatuses/list_all 304 {} 29.775 ms
[2020-09-07T02:05:57.666Z] ::1 email@email.com GET /api/admin/cipcstatuses/list_all 304 {} 17.933 ms
[2020-09-07T02:05:58.205Z] ::1 email@email.com PUT /api/business/cases/update_item/1/1 200 {"currentStatus":" currentStatus = \"Locked\"","lockedDatetime":" lockedDatetime = \"2020-09-07 12:05:57\""} 169.760 ms
[2020-09-07T02:06:01.417Z] ::1 email@email.com GET /api/admin/clientservices/1 304 {} 1.229 ms
[2020-09-07T02:06:01.530Z] ::1 email@email.com GET /api/business/[object%20Object]/list_all/1 200 {} 18.439 ms
[2020-09-07T03:15:47.751Z] ::1 [object Object] POST /api/admin/sessions/ 200 {"email":"email@email.com","password":"newpass","loginDate":"2020-09-07 13:15:47"} 300.461 ms
[2020-09-07T03:15:47.926Z] ::1 email@email.com GET /api/admin/clientservices/1 304 {} 9.346 ms
[2020-09-07T03:15:48.000Z] ::1 email@email.com GET /api/business/[object%20Object]/list_all/1 200 {} 61.808 ms
