[2020-10-19T04:55:44.412Z] ::1 null POST /api/admin/email - {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Bob Email: bob@email.com Message: bgbgbgbgbg","html":"Sender: Bob\n\r\n            Email: bob@email.com\n\r\n            <br />\n            Message: bgbgbgbgbg"} - ms
[2020-10-19T05:00:18.960Z] ::1 null POST /api/admin/email - {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: bobb Email: bob@email.com Message: ghfyetwjwkw","html":"Sender: bobb\n\r\n            Email: bob@email.com\n\r\n            <br />\n            Message: ghfyetwjwkw"} - ms
[2020-10-19T06:22:19.343Z] ::1 null POST /api/admin/email - {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: hello world","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: hello world"} - ms
[2020-10-19T06:35:15.300Z] ::1 null POST /api/admin/email - {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: sdsdsdsds","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: sdsdsdsds"} - ms
[2020-10-19T07:02:35.543Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: Maybe this time?","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: Maybe this time?"} 5407.545 ms
[2020-10-19T07:09:57.499Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: sdsdsdsds","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: sdsdsdsds"} 5980.926 ms
[2020-10-20T03:34:54.352Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: sdsdsdsdsdsdsd","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: sdsdsdsdsdsdsd"} 6062.569 ms
[2020-10-20T04:51:13.733Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender:  Email:  Message: ","html":"Sender: \n\r\n            Email: \n\r\n            <br />\n            Message: "} 83016.999 ms
[2020-10-20T04:51:30.354Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: eregegege","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: eregegege"} 81711.517 ms
[2020-10-20T04:54:51.776Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: email","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: email"} 81812.140 ms
[2020-10-20T04:59:41.544Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: dfghjkjhgf","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: dfghjkjhgf"} 81702.681 ms
[2020-10-20T05:55:28.470Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: again","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: again"} 6189.223 ms
[2020-10-20T06:00:51.596Z] ::1 null POST /api/admin/email 200 {"purpose":"contact form","to":"darryll@thesystem.co.za","subject":"Contact form","text":"Sender: Darryll Robinson Email: darryllrobinson@icloud.com Message: email from me","html":"Sender: Darryll Robinson\n\r\n            Email: darryllrobinson@icloud.com\n\r\n            <br />\n            Message: email from me"} 4736.879 ms
